employee_id;first_name;last_name;email;phone;role;branch_id;hire_date;salary_zar;is_active;created_at;source_system
ST001;Bongani;Jones;bonganij@driveza.co.za;644242033;Regional Manager;BR007;2017/08/20;25383.39;TRUE;2017-08-20T00:00:00;HR_SYSTEM
ST002;Priya;Nxumalo;priyan@driveza.co.za;644285248;Fleet Controller;BR027;2023/01/26;37613.79;TRUE;2023-01-26T00:00:00;HR_SYSTEM
ST003;Sne;Jones;snej@driveza.co.za;669085343;Fleet Controller;BR028;2016/08/10;58622.57;TRUE;2016-08-10T00:00:00;HR_SYSTEM
ST004;Bongani;Patel;bonganip@driveza.co.za;793639409;Branch Manager;BR029;2021/05/28;37156.62;TRUE;2021-05-28T00:00:00;HR_SYSTEM
ST005;Lindiwe;Cele;lindiwec@driveza.co.za;749879097;Regional Manager;BR010;2016/11/18;18438.16;TRUE;2016-11-18T00:00:00;HR_SYSTEM
ST006;Maria;Moyo;mariam@driveza.co.za;874328361;Driver;BR026;2018/10/12;36540.78;TRUE;2018-10-12T00:00:00;HR_SYSTEM
ST007;Duduzile;Mnguni;duduzilem@driveza.co.za;731817772;Driver;BR013;2016/05/27;52452.67;TRUE;2016-05-27T00:00:00;HR_SYSTEM
ST008;Dineo;Radebe;dineor@driveza.co.za;735056416;IT Support;BR024;2019/11/09;51342.22;TRUE;2019-11-09T00:00:00;HR_SYSTEM
ST009;Zandile;Majola;zandilem@driveza.co.za;737023684;IT Support;BR009;2015/09/12;17657.57;TRUE;2015-09-12T00:00:00;HR_SYSTEM
ST010;Palesa;Govender;palesag@driveza.co.za;822075147;Fleet Controller;BR008;2015/03/30;34475.72;TRUE;2015-03-30T00:00:00;HR_SYSTEM
ST011;Kagiso;Phiri;kagisop@driveza.co.za;718048974;Mechanic;BR031;2015/09/12;54988.64;TRUE;2015-09-12T00:00:00;HR_SYSTEM
ST012;Sarah;Philips;sarahp@driveza.co.za;763629556;Fleet Controller;BR001;2017/11/22;64862.34;TRUE;2017-11-22T00:00:00;HR_SYSTEM
ST013;Sipho;Mbatha;siphom@driveza.co.za;744874664;Accounts Officer;BR012;2021/04/04;56485.29;TRUE;2021-04-04T00:00:00;HR_SYSTEM
ST014;Ayanda;Buthelezi;ayandab@driveza.co.za;627382759;Fleet Controller;BR018;2020/09/20;15354.61;TRUE;2020-09-20T00:00:00;HR_SYSTEM
ST015;Farai;Philips;faraip@driveza.co.za;662861995;Driver;BR023;2016/01/26;42636.61;TRUE;2016-01-26T00:00:00;HR_SYSTEM
ST016;Lwazi;Singh;lwazis@driveza.co.za;821846880;Customer Service Agent;BR008;2017/03/03;58005.12;TRUE;2017-03-03T00:00:00;HR_SYSTEM
ST017;Ntombi;Van der Merwe;ntombiv@driveza.co.za;825758652;Regional Manager;BR014;2018/04/08;60114.48;TRUE;2018-04-08T00:00:00;HR_SYSTEM
ST018;Aisha;Pillay;aishap@driveza.co.za;764750907;Branch Manager;BR018;2023/05/31;42936.63;TRUE;2023-05-31T00:00:00;HR_SYSTEM
ST019;Zanele;Moyo;zanelem@driveza.co.za;711034771;Branch Manager;BR031;2019/09/03;49566.39;TRUE;2019-09-03T00:00:00;HR_SYSTEM
ST020;Anele;Ncube;anelen@driveza.co.za;719988746;Fleet Controller;BR017;2020/01/28;41547.16;TRUE;2020-01-28T00:00:00;HR_SYSTEM
ST021;Xolani;Cele;xolanic@driveza.co.za;847138988;Driver;BR022;2021/05/19;30638.51;TRUE;2021-05-19T00:00:00;HR_SYSTEM
ST022;Raj;Zulu;rajz@driveza.co.za;749155982;Branch Manager;BR002;2018/06/23;53526.75;TRUE;2018-06-23T00:00:00;HR_SYSTEM
ST023;Nomvula;Mathye;nomvulam@driveza.co.za;788854716;Fleet Controller;BR004;2019/04/08;58926.4;TRUE;2019-04-08T00:00:00;HR_SYSTEM
ST024;Mpho;Tshabalala;mphot@driveza.co.za;623252072;Branch Manager;BR015;2021/11/01;29462.29;TRUE;2021-11-01T00:00:00;HR_SYSTEM
ST025;Tendai;Mnguni;tendaim@driveza.co.za;731744925;Driver;BR004;2018/05/12;54052.6;TRUE;2018-05-12T00:00:00;HR_SYSTEM
ST026;Kgomotso;Jones;kgomotsoj@driveza.co.za;829137609;Regional Manager;BR013;2017/12/20;39329.94;TRUE;2017-12-20T00:00:00;HR_SYSTEM
ST027;Rethabile;Pillay;rethabilep@driveza.co.za;834258377;Customer Service Agent;BR028;2016/09/29;48270.01;TRUE;2016-09-29T00:00:00;HR_SYSTEM
ST028;James;Williams;jamesw@driveza.co.za;635529667;Regional Manager;BR008;2022/09/09;21266.98;TRUE;2022-09-09T00:00:00;HR_SYSTEM
ST029;Nadia;Majola;nadiam@driveza.co.za;667037341;Driver;BR016;2023/08/25;62259.49;TRUE;2023-08-25T00:00:00;HR_SYSTEM
ST030;Bongani;Van der Merwe;bonganiv@driveza.co.za;793354773;Fleet Controller;BR016;2018/08/06;44944.01;TRUE;2018-08-06T00:00:00;HR_SYSTEM
ST031;Sanele;Tshabalala;sanelet@driveza.co.za;824629148;Fleet Controller;BR021;2015/08/10;49583.32;TRUE;2015-08-10T00:00:00;HR_SYSTEM
ST032;Bulelani;Mokoena;bulelanim@driveza.co.za;722837321;Driver;BR024;2017/12/13;31078.93;TRUE;2017-12-13T00:00:00;HR_SYSTEM
ST033;Bongani;Radebe;bonganir@driveza.co.za;624300893;IT Support;BR026;2016/10/16;38161.72;TRUE;2016-10-16T00:00:00;HR_SYSTEM
ST034;Aisha;Phiri;aishap@driveza.co.za;635491532;IT Support;BR017;2022/07/21;58538.35;TRUE;2022-07-21T00:00:00;HR_SYSTEM
ST035;Sumaya;Philips;sumayap@driveza.co.za;736422322;Fleet Controller;BR001;2015/10/07;63632.12;TRUE;2015-10-07T00:00:00;HR_SYSTEM
ST036;Siyanda;Phiri;siyandap@driveza.co.za;602127368;Mechanic;BR014;2018/12/01;22973.09;TRUE;2018-12-01T00:00:00;HR_SYSTEM
ST037;Farai;Hadebe;faraih@driveza.co.za;737454721;Driver;BR015;2023/02/16;30250.42;TRUE;2023-02-16T00:00:00;HR_SYSTEM
ST038;Thabo;Naidoo;thabon@driveza.co.za;602808661;Regional Manager;BR024;2015/07/31;35960.95;TRUE;2015-07-31T00:00:00;HR_SYSTEM
ST039;Priya;Singh;priyas@driveza.co.za;641539177;Branch Manager;BR027;2020/02/22;24381.26;TRUE;2020-02-22T00:00:00;HR_SYSTEM
ST040;Yusuf;Ndlovu;yusufn@driveza.co.za;636276603;Fleet Controller;BR017;2022/09/08;44210.32;TRUE;2022-09-08T00:00:00;HR_SYSTEM
ST041;Precious;Masondo;preciousm@driveza.co.za;722603554;Branch Manager;BR019;2018/06/10;63829.91;TRUE;2018-06-10T00:00:00;HR_SYSTEM
ST042;Rethabile;Nkosi;rethabilen@driveza.co.za;661296134;Accounts Officer;BR031;2016/09/24;48633.49;TRUE;2016-09-24T00:00:00;HR_SYSTEM
ST043;Yusuf;Masondo;yusufm@driveza.co.za;829818842;Regional Manager;BR028;2019/01/19;53415.73;TRUE;2019-01-19T00:00:00;HR_SYSTEM
ST044;Tshepo;Pillay;tshepop@driveza.co.za;625045964;Fleet Controller;BR029;2019/11/04;43444.63;TRUE;2019-11-04T00:00:00;HR_SYSTEM
ST045;Nandi;Mbatha;nandim@driveza.co.za;662306951;Customer Service Agent;BR028;2017/02/17;45130.57;TRUE;2017-02-17T00:00:00;HR_SYSTEM
ST046;Bulelani;Chauke;bulelanic@driveza.co.za;849715186;Mechanic;BR011;2022/03/18;38984.49;TRUE;2022-03-18T00:00:00;HR_SYSTEM
ST047;Amahle;Ngcobo;amahlen@driveza.co.za;668667333;IT Support;BR018;2016/03/26;51689.49;TRUE;2016-03-26T00:00:00;HR_SYSTEM
ST048;Ayanda;Radebe;ayandar@driveza.co.za;767591402;Regional Manager;BR028;2017/08/07;29470.57;TRUE;2017-08-07T00:00:00;HR_SYSTEM
ST049;Priya;Hadebe;priyah@driveza.co.za;825740303;Mechanic;BR015;2016/05/20;32328.69;TRUE;2016-05-20T00:00:00;HR_SYSTEM
ST050;Haroon;Sithole;haroons@driveza.co.za;823917274;Fleet Controller;BR007;2017/11/18;60105.26;FALSE;2017-11-18T00:00:00;HR_SYSTEM
ST051;Lwazi;Ntanzi;lwazin@driveza.co.za;798708611;Fleet Controller;BR016;2015/03/21;58621.69;TRUE;2015-03-21T00:00:00;HR_SYSTEM
ST052;James;Masondo;jamesm@driveza.co.za;719869585;Customer Service Agent;BR014;2020/06/05;53105.59;TRUE;2020-06-05T00:00:00;HR_SYSTEM
ST053;Maria;Phiri;mariap@driveza.co.za;731158905;Fleet Controller;BR026;2016/12/21;16002.38;TRUE;2016-12-21T00:00:00;HR_SYSTEM
ST054;Sanele;Banda;saneleb@driveza.co.za;812703143;Mechanic;BR027;2023/10/15;26640.41;TRUE;2023-10-15T00:00:00;HR_SYSTEM
